Timestamp,LBNL Weather Station Wet-Bulb Temperature (),"LBNL Weather Station Dry-Bulb Temperature Sensor (Main, Two-Meter) ()"
2018-09-17T21:00:00-07:00 Los_Angeles,52.41510963,55.44750023
2018-09-17T22:00:00-07:00 Los_Angeles,52.4762392,55.47000027
2018-09-17T23:00:00-07:00 Los_Angeles,52.23541927,55.20500088
2018-09-18T00:00:00-07:00 Los_Angeles,51.89575577,54.84250069
2018-09-18T01:00:00-07:00 Los_Angeles,51.88233852,54.78250027
2018-09-18T02:00:00-07:00 Los_Angeles,51.86187267,54.68250084
2018-09-18T03:00:00-07:00 Los_Angeles,51.71875,54.45250034
2018-09-18T04:00:00-07:00 Los_Angeles,51.74332142,54.51749992
2018-09-18T05:00:00-07:00 Los_Angeles,51.71552944,54.57000065
2018-09-18T06:00:00-07:00 Los_Angeles,51.78045654,54.67249966
2018-09-18T07:00:00-07:00 Los_Angeles,51.78560829,54.70250034
2018-09-18T08:00:00-07:00 Los_Angeles,52.42837143,55.60000038
2018-09-18T09:00:00-07:00 Los_Angeles,53.59141731,57.69749928
2018-09-18T10:00:00-07:00 Los_Angeles,54.63949871,59.96749878
2018-09-18T11:00:00-07:00 Los_Angeles,56.11491585,63.19500065
2018-09-18T12:00:00-07:00 Los_Angeles,56.39157867,64.50500107
2018-09-18T13:00:00-07:00 Los_Angeles,56.55582047,64.37249947
2018-09-18T14:00:00-07:00 Los_Angeles,57.17828751,66.11000061
2018-09-18T15:00:00-07:00 Los_Angeles,57.01472569,65.76000023
2018-09-18T16:00:00-07:00 Los_Angeles,56.47942543,65.22500038
2018-09-18T17:00:00-07:00 Los_Angeles,55.69484711,64.58250046
2018-09-18T18:00:00-07:00 Los_Angeles,55.23453617,63.44499969
2018-09-18T19:00:00-07:00 Los_Angeles,52.62284184,57.94250011
2018-09-18T20:00:00-07:00 Los_Angeles,51.45131111,55.61999989
2018-09-18T21:00:00-07:00 Los_Angeles,51.2562027,55.11250019
